"method","algorithm","l1_error","fro_error","max_abs_error","rep","n","R","factor_type","weight_type","p","fiber_l1_max","slice_l1_max","experiment","p_scalar","sample_multiplier","hetero_strength","alpha_profile","normalized_fiber_l1_max","normalized_slice_l1_max","normalized_l1","normalized_fro"
"unscaled","no_thinning",0.162777773739441,0.0008423620456247,9.71705212302188e-05,11,14400,2,"dense_heteroskedastic","balanced","60x60x60",0.00615855182959372,0.0693381763118512,"dense_heteroskedastic_RP",60,120,1,0.8,22.1707865865374,4.16029057871107,1.78314117075128,0.910805696999473
"oracle","no_thinning",0.12513730341586,0.00066216490580164,6.79867532194438e-05,11,14400,2,"dense_heteroskedastic","balanced","60x60x60",0.00615855182959372,0.0693381763118512,"dense_heteroskedastic_RP",60,120,1,0.8,22.1707865865374,4.16029057871107,1.3708104773247,0.715967168380656
"oracle_cp","no_thinning",1.09043682110925,0.00493812633541751,0.000428038143876331,11,14400,2,"dense_heteroskedastic","balanced","60x60x60",0.00615855182959372,0.0693381763118512,"dense_heteroskedastic_RP",60,120,1,0.8,22.1707865865374,4.16029057871107,11.9451368891153,5.33935927213565
"slice_oracle","no_thinning",0.130693673668795,0.000691146361743925,6.71924977660836e-05,11,14400,2,"dense_heteroskedastic","balanced","60x60x60",0.00615855182959372,0.0693381763118512,"dense_heteroskedastic_RP",60,120,1,0.8,22.1707865865374,4.16029057871107,1.43167746383236,0.747303427316677
"slice_est","no_thinning",0.129537795758454,0.000682340162079,6.39344764601172e-05,11,14400,2,"dense_heteroskedastic","balanced","60x60x60",0.00615855182959372,0.0693381763118512,"dense_heteroskedastic_RP",60,120,1,0.8,22.1707865865374,4.16029057871107,1.41901545572804,0.737781705789231
"histogram","no_thinning",1.50833600755382,0.0083517006576918,0.000344409701348461,12,14400,2,"dense_heteroskedastic","balanced","60x60x60",0.00504704882583466,0.0712224319069362,"dense_heteroskedastic_RP",60,120,1,0.8,18.1693757730048,4.27334591441617,16.5229931126902,9.9752184466047
"unscaled","no_thinning",0.161667836451901,0.000787507502299926,3.75478782701642e-05,12,14400,2,"dense_heteroskedastic","balanced","60x60x60",0.00504704882583466,0.0712224319069362,"dense_heteroskedastic_RP",60,120,1,0.8,18.1693757730048,4.27334591441617,1.77098241695524,0.940593980286753
"oracle","no_thinning",0.127938544657517,0.000618150356226731,2.85632141125358e-05,12,14400,2,"dense_heteroskedastic","balanced","60x60x60",0.00504704882583466,0.0712224319069362,"dense_heteroskedastic_RP",60,120,1,0.8,18.1693757730048,4.27334591441617,1.40149653766608,0.738314876088044
"oracle_cp","no_thinning",1.09771184672791,0.00460070599572187,0.000487387049878998,12,14400,2,"dense_heteroskedastic","balanced","60x60x60",0.00504704882583466,0.0712224319069362,"dense_heteroskedastic_RP",60,120,1,0.8,18.1693757730048,4.27334591441617,12.0248308018706,5.49505414488997
"slice_oracle","no_thinning",0.133960350782389,0.000653356969358011,3.00147725344045e-05,12,14400,2,"dense_heteroskedastic","balanced","60x60x60",0.00504704882583466,0.0712224319069362,"dense_heteroskedastic_RP",60,120,1,0.8,18.1693757730048,4.27334591441617,1.46746211869638,0.780365432153672
"slice_est","no_thinning",0.133240746836477,0.000650411309121209,2.95017158016728e-05,12,14400,2,"dense_heteroskedastic","balanced","60x60x60",0.00504704882583466,0.0712224319069362,"dense_heteroskedastic_RP",60,120,1,0.8,18.1693757730048,4.27334591441617,1.45957925242347,0.776847154196175
"histogram","no_thinning",1.49597143870853,0.00832861575508356,0.000489028688547222,13,14400,2,"dense_heteroskedastic","balanced","60x60x60",0.00557779207983193,0.0851712904074466,"dense_heteroskedastic_RP",60,120,1,0.8,20.080051487395,5.11027742444679,16.3875460472824,9.46254403877996
"unscaled","no_thinning",0.15215505586437,0.000741301344665801,4.58060152258487e-05,13,14400,2,"dense_heteroskedastic","balanced","60x60x60",0.00557779207983193,0.0851712904074466,"dense_heteroskedastic_RP",60,120,1,0.8,20.080051487395,5.11027742444679,1.66677512670748,0.842228387787661
"oracle","no_thinning",0.121605615646277,0.000569560481904766,4.13889275993929e-05,13,14400,2,"dense_heteroskedastic","balanced","60x60x60",0.00557779207983193,0.0851712904074466,"dense_heteroskedastic_RP",60,120,1,0.8,20.080051487395,5.11027742444679,1.33212277617539,0.647105269502076
"oracle_cp","no_thinning",0.12150073172207,0.000581800878006474,4.74148408520032e-05,13,14400,2,"dense_heteroskedastic","balanced","60x60x60",0.00557779207983193,0.0851712904074466,"dense_heteroskedastic_RP",60,120,1,0.8,20.080051487395,5.11027742444679,1.33097383035123,0.661012176792622
"slice_oracle","no_thinning",0.125203380504081,0.000612866443802611,5.13191161567068e-05,13,14400,2,"dense_heteroskedastic","balanced","60x60x60",0.00557779207983193,0.0851712904074466,"dense_heteroskedastic_RP",60,120,1,0.8,20.080051487395,5.11027742444679,1.37153431555975,0.696307271809599
"slice_est","no_thinning",0.125224560792031,0.000612828153774799,5.22364168454057e-05,13,14400,2,"dense_heteroskedastic","balanced","60x60x60",0.00557779207983193,0.0851712904074466,"dense_heteroskedastic_RP",60,120,1,0.8,20.080051487395,5.11027742444679,1.37176633398945,0.696263768653123
"histogram","no_thinning",1.52009939738178,0.00831966389068647,0.000322927046700264,14,14400,2,"dense_heteroskedastic","balanced","60x60x60",0.00405972326827224,0.059781548236933,"dense_heteroskedastic_RP",60,120,1,0.8,14.6150037657801,3.58689289421598,16.6518545919202,11.079593178363
"unscaled","no_thinning",0.137577100734317,0.000648907614142748,4.89780160261333e-05,14,14400,2,"dense_heteroskedastic","balanced","60x60x60",0.00405972326827224,0.059781548236933,"dense_heteroskedastic_RP",60,120,1,0.8,14.6150037657801,3.58689289421598,1.50708162936691,0.864173417280989
"oracle","no_thinning",0.119987260961814,0.000556057434391276,3.49975889960464e-05,14,14400,2,"dense_heteroskedastic","balanced","60x60x60",0.00405972326827224,0.059781548236933,"dense_heteroskedastic_RP",60,120,1,0.8,14.6150037657801,3.58689289421598,1.3143945888409,0.740521520798029
"oracle_cp","no_thinning",0.86490504153055,0.00368450818908253,0.000348728477960824,14,14400,2,"dense_heteroskedastic","balanced","60x60x60",0.00405972326827224,0.059781548236933,"dense_heteroskedastic_RP",60,120,1,0.8,14.6150037657801,3.58689289421598,9.4745600269245,4.90679098744372
"slice_oracle","no_thinning",0.116128591017611,0.000544729020889513,3.10711182718679e-05,14,14400,2,"dense_heteroskedastic","balanced","60x60x60",0.00405972326827224,0.059781548236933,"dense_heteroskedastic_RP",60,120,1,0.8,14.6150037657801,3.58689289421598,1.27212497743274,0.725435068435896
"slice_est","no_thinning",0.115838200961391,0.000542551132724398,3.22197566453704e-05,14,14400,2,"dense_heteroskedastic","balanced","60x60x60",0.00405972326827224,0.059781548236933,"dense_heteroskedastic_RP",60,120,1,0.8,14.6150037657801,3.58689289421598,1.26894391374741,0.72253469707781
"histogram","no_thinning",1.48562786618689,0.00832101804869145,0.000349091132654517,15,14400,2,"dense_heteroskedastic","balanced","60x60x60",0.00658068776753658,0.0918598348937887,"dense_heteroskedastic_RP",60,120,1,0.8,23.6904759631317,5.51159009362732,16.2742378873765,8.70376325405574
"unscaled","no_thinning",0.169081058660084,0.000840081245125663,6.70491211273357e-05,15,14400,2,"dense_heteroskedastic","balanced","60x60x60",0.00658068776753658,0.0918598348937887,"dense_heteroskedastic_RP",60,120,1,0.8,23.6904759631317,5.51159009362732,1.85219019749964,0.878722799176717
"oracle","no_thinning",0.127633564397381,0.000619454532443354,5.13381985677151e-05,15,14400,2,"dense_heteroskedastic","balanced","60x60x60",0.00658068776753658,0.0918598348937887,"dense_heteroskedastic_RP",60,120,1,0.8,23.6904759631317,5.51159009362732,1.39815564630468,0.647947831081392
"oracle_cp","no_thinning",0.680572247679051,0.0036259023125171,0.000344029525059614,15,14400,2,"dense_heteroskedastic","balanced","60x60x60",0.00658068776753658,0.0918598348937887,"dense_heteroskedastic_RP",60,120,1,0.8,23.6904759631317,5.51159009362732,7.45529544131618,3.79268439580478
"slice_oracle","no_thinning",0.131669671757685,0.000673373526227582,7.05007664901364e-05,15,14400,2,"dense_heteroskedastic","balanced","60x60x60",0.00658068776753658,0.0918598348937887,"dense_heteroskedastic_RP",60,120,1,0.8,23.6904759631317,5.51159009362732,1.4423689872197,0.704346958453628
"slice_est","no_thinning",0.130918924751972,0.000667845247292151,6.95043593974159e-05,15,14400,2,"dense_heteroskedastic","balanced","60x60x60",0.00658068776753658,0.0918598348937887,"dense_heteroskedastic_RP",60,120,1,0.8,23.6904759631317,5.51159009362732,1.43414496581953,0.6985643930542
"histogram","no_thinning",1.55750605173942,0.00834329442968784,0.000412542628230117,16,14400,2,"dense_heteroskedastic","balanced","60x60x60",0.00756178152454864,0.0707846797982476,"dense_heteroskedastic_RP",60,120,1,0.8,27.2224134883751,4.24708078789485,17.0616239597698,8.14126244914103
