"method","algorithm","l1_error","fro_error","max_abs_error","rep","n","R","factor_type","weight_type","p","fiber_l1_max","slice_l1_max","experiment","p_scalar","sample_multiplier","hetero_strength","alpha_profile","normalized_fiber_l1_max","normalized_slice_l1_max","normalized_l1","normalized_fro"
"unscaled","no_thinning",0.171218341939966,0.00248060938122608,0.000372985957319696,30,10000,4,"dense_heteroskedastic","balanced","30x30x30",0.0141356030406365,0.106809353486294,"unscaled_thinning_comparison",30,83.3333333333333,50,0.8,12.7220427365728,3.20428060458882,1.56300246898587,1.04320873724263
"unscaled","thinning",0.285703202928651,0.00376039660417346,0.000427461719280081,30,10000,4,"dense_heteroskedastic","balanced","30x30x30",0.0141356030406365,0.106809353486294,"unscaled_thinning_comparison",30,83.3333333333333,50,0.8,12.7220427365728,3.20428060458882,2.6081014832583,1.58141730119246
"unscaled","no_thinning",0.119333338533996,0.00185282486329126,0.000347315374378963,1,30000,4,"dense_heteroskedastic","balanced","30x30x30",0.0212680355138831,0.113562438407046,"unscaled_thinning_comparison",30,250,50,0.8,19.1412319624948,3.40687315221138,1.88682575279683,1.10027517229295
"unscaled","thinning",0.204163809588358,0.00307758985304901,0.000554567182776203,1,30000,4,"dense_heteroskedastic","balanced","30x30x30",0.0212680355138831,0.113562438407046,"unscaled_thinning_comparison",30,250,50,0.8,19.1412319624948,3.40687315221138,3.22811327038068,1.82758541991684
"unscaled","no_thinning",0.128235665883065,0.00197901143085195,0.000414110536070108,2,30000,4,"dense_heteroskedastic","balanced","30x30x30",0.0230946441008248,0.155983609670744,"unscaled_thinning_comparison",30,250,50,0.8,20.7851796907423,4.67950829012232,2.02758390729417,1.1277771665554
"unscaled","thinning",0.21656689558826,0.00330077987403541,0.000495700223117622,2,30000,4,"dense_heteroskedastic","balanced","30x30x30",0.0230946441008248,0.155983609670744,"unscaled_thinning_comparison",30,250,50,0.8,20.7851796907423,4.67950829012232,3.42422327925386,1.88101196169454
"unscaled","no_thinning",0.0981694695801302,0.00167280200264966,0.000333441106929453,3,30000,4,"dense_heteroskedastic","balanced","30x30x30",0.0226776218898324,0.110701437710039,"unscaled_thinning_comparison",30,250,50,0.8,20.4098597008492,3.32104313130119,1.55219560281913,0.962002978063369
"unscaled","thinning",0.185365817654206,0.00289419971352801,0.000558078731602905,3,30000,4,"dense_heteroskedastic","balanced","30x30x30",0.0226776218898324,0.110701437710039,"unscaled_thinning_comparison",30,250,50,0.8,20.4098597008492,3.32104313130119,2.9308909206337,1.66441021657912
"unscaled","no_thinning",0.0913983596656732,0.00125410260334256,0.000167371351337857,4,30000,4,"dense_heteroskedastic","balanced","30x30x30",0.0156885932075573,0.0934170511496354,"unscaled_thinning_comparison",30,250,50,0.8,14.1197338868016,2.80251153448906,1.44513495473397,0.867105018858964
"unscaled","thinning",0.163317795342739,0.00217117128128125,0.000299809888243282,4,30000,4,"dense_heteroskedastic","balanced","30x30x30",0.0156885932075573,0.0934170511496354,"unscaled_thinning_comparison",30,250,50,0.8,14.1197338868016,2.80251153448906,2.58228107860147,1.5011798155778
"unscaled","no_thinning",0.125371691651451,0.00182654215063339,0.000339902195848151,5,30000,4,"dense_heteroskedastic","balanced","30x30x30",0.0219008301129605,0.129381259189444,"unscaled_thinning_comparison",30,250,50,0.8,19.7107471016644,3.88143777568332,1.9823004986345,1.06888268591354
"unscaled","thinning",0.203815749875414,0.00288909411330722,0.000398033087283244,5,30000,4,"dense_heteroskedastic","balanced","30x30x30",0.0219008301129605,0.129381259189444,"unscaled_thinning_comparison",30,250,50,0.8,19.7107471016644,3.88143777568332,3.22260996310744,1.6906824047931
"unscaled","no_thinning",0.0966789960769828,0.0012598522191909,0.00013604340813705,6,30000,4,"dense_heteroskedastic","balanced","30x30x30",0.0123029457318921,0.107730706783222,"unscaled_thinning_comparison",30,250,50,0.8,11.0726511587029,3.23192120349665,1.52862914750874,0.983661520780812
"unscaled","thinning",0.17160014021941,0.0022364423706719,0.000211699510819982,6,30000,4,"dense_heteroskedastic","balanced","30x30x30",0.0123029457318921,0.107730706783222,"unscaled_thinning_comparison",30,250,50,0.8,11.0726511587029,3.23192120349665,2.713236449488,1.74615900973415
"unscaled","no_thinning",0.0871307659545685,0.0013946221588728,0.000239397709217914,7,30000,4,"dense_heteroskedastic","balanced","30x30x30",0.0192326296647678,0.0967116742003551,"unscaled_thinning_comparison",30,250,50,0.8,17.3093666982911,2.90135022601065,1.37765837345746,0.870899133577782
"unscaled","thinning",0.178560240864362,0.00267807481875132,0.000303680094252878,7,30000,4,"dense_heteroskedastic","balanced","30x30x30",0.0192326296647678,0.0967116742003551,"unscaled_thinning_comparison",30,250,50,0.8,17.3093666982911,2.90135022601065,2.82328530339829,1.67237629523404
"unscaled","no_thinning",0.0977769949934251,0.00145291849281884,0.000249107658714734,8,30000,4,"dense_heteroskedastic","balanced","30x30x30",0.0120143169898818,0.109140761929409,"unscaled_thinning_comparison",30,250,50,0.8,10.8128852908936,3.27422285788227,1.54599003473052,1.14794832857994
"unscaled","thinning",0.182241536321027,0.00262159994166416,0.000273948385121842,8,30000,4,"dense_heteroskedastic","balanced","30x30x30",0.0120143169898818,0.109140761929409,"unscaled_thinning_comparison",30,250,50,0.8,10.8128852908936,3.27422285788227,2.88149169531373,2.07132147199802
"unscaled","no_thinning",0.0937615549920741,0.00122761638236567,0.000192080925455934,9,30000,4,"dense_heteroskedastic","balanced","30x30x30",0.0115010896245593,0.0881652059642692,"unscaled_thinning_comparison",30,250,50,0.8,10.3509806621033,2.64495617892807,1.48250035367042,0.99134270067467
"unscaled","thinning",0.173486427217435,0.0021463514686643,0.000215275428114456,9,30000,4,"dense_heteroskedastic","balanced","30x30x30",0.0115010896245593,0.0881652059642692,"unscaled_thinning_comparison",30,250,50,0.8,10.3509806621033,2.64495617892807,2.74306126566061,1.73325306839129
"unscaled","no_thinning",0.102867617492494,0.00164021984028374,0.000269821981422154,10,30000,4,"dense_heteroskedastic","balanced","30x30x30",0.0207575982039843,0.109340456721255,"unscaled_thinning_comparison",30,250,50,0.8,18.6818383835859,3.28021370163765,1.6264798437563,0.985925596663057
"unscaled","thinning",0.167992035241354,0.00260661141639705,0.00031600590605931,10,30000,4,"dense_heteroskedastic","balanced","30x30x30",0.0207575982039843,0.109340456721255,"unscaled_thinning_comparison",30,250,50,0.8,18.6818383835859,3.28021370163765,2.65618730064976,1.56681735756557
