"method","algorithm","l1_error","fro_error","max_abs_error","rep","n","R","factor_type","weight_type","p","fiber_l1_max","slice_l1_max","experiment","p_scalar","sample_multiplier","hetero_strength","alpha_profile","normalized_fiber_l1_max","normalized_slice_l1_max","normalized_l1","normalized_fro"
"slice_oracle","no_thinning",0.0460946015168919,0.000242303485641279,1.7704135817983e-05,7,2e+05,4,"dense_heteroskedastic","balanced","50x50x50",0.00366935571585245,0.0534135893596586,"dense_heteroskedastic",50,1000,1,0.8,9.17338928963111,2.67067946798293,1.45763928631231,0.894436999838927
"slice_est","no_thinning",0.046069223431028,0.000242250053998082,1.76937242108869e-05,7,2e+05,4,"dense_heteroskedastic","balanced","50x50x50",0.00366935571585245,0.0534135893596586,"dense_heteroskedastic",50,1000,1,0.8,9.17338928963111,2.67067946798293,1.45683676077246,0.894239762731459
"histogram","no_thinning",0.533854495416266,0.00222364346016701,0.000102621887344912,8,2e+05,4,"dense_heteroskedastic","balanced","50x50x50",0.00372439898764407,0.0492907238996065,"dense_heteroskedastic",50,1000,1,0.8,9.31099746911017,2.46453619498032,16.8819614463532,8.14745660034212
"unscaled","no_thinning",0.0522830799717992,0.000268270683264649,1.39438570572603e-05,8,2e+05,4,"dense_heteroskedastic","balanced","50x50x50",0.00372439898764407,0.0492907238996065,"dense_heteroskedastic",50,1000,1,0.8,9.31099746911017,2.46453619498032,1.65333615799617,0.982947036337691
"oracle","no_thinning",0.0464068717837282,0.000238059999432104,1.30202814644849e-05,8,2e+05,4,"dense_heteroskedastic","balanced","50x50x50",0.00372439898764407,0.0492907238996065,"dense_heteroskedastic",50,1000,1,0.8,9.31099746911017,2.46453619498032,1.46751413919982,0.872254724462375
"oracle_cp","no_thinning",0.209175015715712,0.00135830779875302,0.000102221318818623,8,2e+05,4,"dense_heteroskedastic","balanced","50x50x50",0.00372439898764407,0.0492907238996065,"dense_heteroskedastic",50,1000,1,0.8,9.31099746911017,2.46453619498032,6.61469479263167,4.97685624448773
"slice_oracle","no_thinning",0.0471442796663161,0.000243870049369351,1.37751694552388e-05,8,2e+05,4,"dense_heteroskedastic","balanced","50x50x50",0.00372439898764407,0.0492907238996065,"dense_heteroskedastic",50,1000,1,0.8,9.31099746911017,2.46453619498032,1.49083302393522,0.893542817880905
"slice_est","no_thinning",0.0471266782019764,0.000243630109941873,1.37289739818418e-05,8,2e+05,4,"dense_heteroskedastic","balanced","50x50x50",0.00372439898764407,0.0492907238996065,"dense_heteroskedastic",50,1000,1,0.8,9.31099746911017,2.46453619498032,1.49027641676054,0.892663676909295
"histogram","no_thinning",0.529312337049214,0.0022272174755719,7.98365753954295e-05,9,2e+05,4,"dense_heteroskedastic","balanced","50x50x50",0.00394244295283856,0.0587179239527799,"dense_heteroskedastic",50,1000,1,0.8,9.85610738209639,2.935896197639,16.7383257870225,7.93167514871049
"unscaled","no_thinning",0.0511260407690363,0.000264542083444582,1.97960583697072e-05,9,2e+05,4,"dense_heteroskedastic","balanced","50x50x50",0.00394244295283856,0.0587179239527799,"dense_heteroskedastic",50,1000,1,0.8,9.85610738209639,2.935896197639,1.61674736576781,0.942100128101184
"oracle","no_thinning",0.046537735237053,0.000230308935758787,1.51362794316677e-05,9,2e+05,4,"dense_heteroskedastic","balanced","50x50x50",0.00394244295283856,0.0587179239527799,"dense_heteroskedastic",50,1000,1,0.8,9.85610738209639,2.935896197639,1.47165240494964,0.820187378340708
"oracle_cp","no_thinning",0.689228574870137,0.0035147478363845,0.000284500433041064,9,2e+05,4,"dense_heteroskedastic","balanced","50x50x50",0.00394244295283856,0.0587179239527799,"dense_heteroskedastic",50,1000,1,0.8,9.85610738209639,2.935896197639,21.7953212506152,12.5168908620728
"slice_oracle","no_thinning",0.0459396349685001,0.000235754256367311,1.51841534811587e-05,9,2e+05,4,"dense_heteroskedastic","balanced","50x50x50",0.00394244295283856,0.0587179239527799,"dense_heteroskedastic",50,1000,1,0.8,9.85610738209639,2.935896197639,1.45273881377178,0.839579518812443
